FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.144,144,Pardee,East Bay Municipal Util Dist,Electric Utility,Valley Springs,Calaveras,California,95252,hydroelectric,27.7,Conventional Hydroelectric
powerplant_hydro_2020.145,145,Prairie River,"ALLETE, Inc.",Electric Utility,Grand Rapids,Itasca,Minnesota,55744,hydroelectric,0.7,Conventional Hydroelectric
powerplant_hydro_2020.146,146,Dion R Holm,City & County of San Francisco,Electric Utility,Groveland,Tuolumne,California,95321,hydroelectric,156.8,Conventional Hydroelectric
powerplant_hydro_2020.147,147,Moccasin,City & County of San Francisco,Electric Utility,Moccasin,Tuolumne,California,95347,hydroelectric,100,Conventional Hydroelectric
powerplant_hydro_2020.148,148,R C Kirkwood,City & County of San Francisco,Electric Utility,Groveland,Tuolumne,California,95321,hydroelectric,115.5,Conventional Hydroelectric
powerplant_hydro_2020.149,149,Drop 2 (CA),Imperial Irrigation District,Electric Utility,Holtville,Imperial,California,92250,hydroelectric,9.8,Conventional Hydroelectric
powerplant_hydro_2020.150,150,Drop 3 (CA),Imperial Irrigation District,Electric Utility,Holtville,Imperial,California,92250,hydroelectric,7.3,Conventional Hydroelectric
powerplant_hydro_2020.151,151,Drop 4,Imperial Irrigation District,Electric Utility,Holtville,Imperial,California,92250,hydroelectric,19.1,Conventional Hydroelectric
powerplant_hydro_2020.152,152,Pilot Knob,Imperial Irrigation District,Electric Utility,Winterhaven,Imperial,California,92283,hydroelectric,0,Conventional Hydroelectric
powerplant_hydro_2020.153,153,Solomon Gulch,"Copper Valley Elec Assn, Inc",Electric Utility,Valdez,Valdez Cordova,Alaska,99686,hydroelectric,12,Conventional Hydroelectric
powerplant_hydro_2020.154,154,Big Pine Creek,Los Angeles Department of Water & Power,Electric Utility,Big Pine,Inyo,California,93513,hydroelectric,3,Conventional Hydroelectric
powerplant_hydro_2020.155,155,Control Gorge,Los Angeles Department of Water & Power,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,37.5,Conventional Hydroelectric
powerplant_hydro_2020.156,156,Cottonwood,Los Angeles Department of Water & Power,Electric Utility,Lone Pine,Inyo,California,93545,hydroelectric,2.4,Conventional Hydroelectric
powerplant_hydro_2020.157,157,Foothill,Los Angeles Department of Water & Power,Electric Utility,Sylmar,Los Angeles,California,91342,hydroelectric,8.6,Conventional Hydroelectric
powerplant_hydro_2020.573,573,Lemolo 1,PacifiCorp,Electric Utility,Idleyld Park,Douglas,Oregon,97447,hydroelectric,32,Conventional Hydroelectric
powerplant_hydro_2020.158,158,Franklin (CA),Los Angeles Department of Water & Power,Electric Utility,Beverley Hills,Los Angeles,California,90210,hydroelectric,2,Conventional Hydroelectric
powerplant_hydro_2020.159,159,Haiwee,Los Angeles Department of Water & Power,Electric Utility,Olancha,Inyo,California,93549,hydroelectric,5,Conventional Hydroelectric
powerplant_hydro_2020.160,160,Middle Gorge,Los Angeles Department of Water & Power,Electric Utility,Bishop,Mono,California,93514,hydroelectric,37.5,Conventional Hydroelectric
powerplant_hydro_2020.161,161,Pleasant Valley Hydro,Los Angeles Department of Water & Power,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,2.7,Conventional Hydroelectric
powerplant_hydro_2020.162,162,San Fernando,Los Angeles Department of Water & Power,Electric Utility,Sylmar,Los Angeles,California,91342,hydroelectric,6.1,Conventional Hydroelectric
powerplant_hydro_2020.163,163,Upper Gorge,Los Angeles Department of Water & Power,Electric Utility,Bishop,Mono,California,93514,hydroelectric,36.5,Conventional Hydroelectric
powerplant_hydro_2020.164,164,Exchequer,Merced Irrigation District,IPP Non-CHP,Snelling,Mariposa,California,95369,hydroelectric,94.5,Conventional Hydroelectric
powerplant_hydro_2020.165,165,McSwain,Merced Irrigation District,IPP Non-CHP,Snelling,Mariposa,California,95369,hydroelectric,9,Conventional Hydroelectric
