FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_solar_2020.1717,1717,Innovative Solar 31,"Innovative Solar 31, LLC",IPP Non-CHP,Bladenboro,Bladen,North Carolina,28320,solar,35,Solar Photovoltaic
powerplant_solar_2020.1718,1718,158th Fighter Wing Solar Farm,158th Fighter Wing,IPP Non-CHP,South Burlington,Chittenden,Vermont,5403,solar,1.3,Solar Photovoltaic
powerplant_solar_2020.1719,1719,Tri-County Solar Facility,Georgia Power Co,Electric Utility,Eatonton,Putnam,Georgia,31024,solar,1,Solar Photovoltaic
powerplant_solar_2020.1720,1720,KIUC Kapaia PV and BA Storage Project Hybrid,Tesla Inc.,IPP Non-CHP,Lihue,Kauai,Hawaii,96766,solar,26,Batteries; Solar Photovoltaic;
powerplant_solar_2020.1721,1721,GMP Solar - Richmond,Green Mountain Power Corp,Electric Utility,Richmond,Chittenden,Vermont,5477,solar,1.9,Solar Photovoltaic
powerplant_solar_2020.1722,1722,"NorWest Energy 2, LLC",Cypress Creek Renewables,IPP Non-CHP,Bend,Deschutes,Oregon,97701,solar,9.9,Solar Photovoltaic
powerplant_solar_2020.1723,1723,"ZV Solar 3, LLC","SRE Utility Solar 1, LLC",IPP Non-CHP,Red Springs,Robeson,North Carolina,28377,solar,4.9,Solar Photovoltaic
powerplant_solar_2020.1724,1724,Hattiesburg Solar Farm,"Hattiesburg Farm, LLC",IPP Non-CHP,Hattiesburg,Forrest,Mississippi,39401,solar,50,Solar Photovoltaic
powerplant_solar_2020.1725,1725,Southerland Farm Solar,"Southerland Farm Solar, LLC",IPP Non-CHP,Henderson,Vance,North Carolina,27537,solar,5,Solar Photovoltaic
powerplant_solar_2020.1726,1726,Hazlehurst II,"SR South Loving, LLC",IPP Non-CHP,Hazlehurst,Jeff Davis,Georgia,31539,solar,52.5,Solar Photovoltaic
powerplant_solar_2020.1727,1727,Selmer I,"Selmer North Solar I, LLC",IPP Non-CHP,Selmer,McNairy,Tennessee,38375,solar,16,Solar Photovoltaic
powerplant_solar_2020.1728,1728,Selmer II,"Selmer North Solar II, LLC",IPP Non-CHP,Selmer,McNairy,Tennessee,38375,solar,8,Solar Photovoltaic
powerplant_solar_2020.1729,1729,Solar Blythe 2,NRG Solar Blythe II LLC,IPP Non-CHP,Blythe,Riverside,California,92225,solar,20,Solar Photovoltaic
powerplant_solar_2020.1730,1730,Millington Solar Farm,"SR Millington, LLC",IPP Non-CHP,Millington,Shelby,Tennessee,38053,solar,53,Solar Photovoltaic
powerplant_solar_2020.1731,1731,GMP Solar - Panton Hybrid,Green Mountain Power Corp,Electric Utility,Panton,Addison,Vermont,5491,solar,5.9,Batteries; Solar Photovoltaic;
powerplant_solar_2020.1732,1732,HQC Rock River Solar Power Gen Station,HQC Rock River Solar Power Generation Station LLC,IPP Non-CHP,Beloit,Rock,Wisconsin,53511,solar,2.1,Solar Photovoltaic
powerplant_solar_2020.1733,1733,Wadesboro Farm 2,"Wadesboro Farm 2, LLC",IPP Non-CHP,Wadesboro,Anson,North Carolina,28170,solar,5,Solar Photovoltaic
powerplant_solar_2020.1734,1734,Wadesboro Farm 3,"Wadesboro Farm 3, LLC",IPP Non-CHP,Wadesboro,Anson,North Carolina,28170,solar,5,Solar Photovoltaic
powerplant_solar_2020.1735,1735,Hector Farm,"Hector Farm, LLC",IPP Non-CHP,Troy,Montgomery,North Carolina,27371,solar,5,Solar Photovoltaic
powerplant_solar_2020.1736,1736,Kojak Farm,"Kojak Farm, LLC",IPP Non-CHP,Bailey,Nash,North Carolina,27807,solar,5,Solar Photovoltaic
powerplant_solar_2020.1737,1737,Meriwether Farm,"Meriwether Farm, LLC",IPP Non-CHP,Oxford,Granville,North Carolina,27565,solar,5,Solar Photovoltaic
powerplant_solar_2020.1738,1738,Soluga Farms III,"Soluga Farms III, LLC",IPP Non-CHP,Godwin,Cumberland,North Carolina,28344,solar,5,Solar Photovoltaic
powerplant_solar_2020.1739,1739,Upton County Solar,Consolidated Edison Development Inc.,IPP Non-CHP,McCamey,Upton,Texas,79752,solar,150,Solar Photovoltaic
powerplant_solar_2020.1740,1740,CoTAL Solar Farm,"FL Solar 1, LLC",IPP Non-CHP,Tallahassee,Leon,Florida,32305,solar,20,Solar Photovoltaic
powerplant_solar_2020.1741,1741,LaFayette Solar Farm,"AL Solar A, LLC",IPP Non-CHP,LaFayette,Chambers,Alabama,36862,solar,79.2,Solar Photovoltaic
