FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_coal_2020.190,190,J K Spruce,City of San Antonio - (TX),Electric Utility,San Antonio,Bexar,Texas,78263,coal,1345,Conventional Steam Coal
powerplant_coal_2020.191,191,Clover,Virginia Electric & Power Co,Electric Utility,Clover,Halifax,Virginia,24534,coal,877,Conventional Steam Coal
powerplant_coal_2020.192,192,George Neal South,MidAmerican Energy Co,Electric Utility,Salix,Woodbury,Iowa,51052,coal,643.6,Conventional Steam Coal
powerplant_coal_2020.193,193,Neil Simpson II,"Black Hills Power, Inc. d/b/a",Electric Utility,Gillette,Campbell,Wyoming,82718,coal,114,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.194,194,Bonanza,Deseret Generation & Tran Coop,Electric Utility,Vernal,Uintah,Utah,84078,coal,458,Conventional Steam Coal
powerplant_coal_2020.195,195,Pirkey,Southwestern Electric Power Co,Electric Utility,Hallsville,Harrison,Texas,75650,coal,675,Conventional Steam Coal
powerplant_coal_2020.196,196,Columbia (WI),Wisconsin Power & Light Co,Electric Utility,Pardeville,Columbia,Wisconsin,53954,coal,1137.4,Conventional Steam Coal
powerplant_coal_2020.197,197,Belews Creek,"Duke Energy Carolinas, LLC",Electric Utility,Belews Creek,Stokes,North Carolina,27052,coal,2220,Conventional Steam Coal
powerplant_coal_2020.198,198,Jim Bridger,PacifiCorp,Electric Utility,Point of Rocks,Sweetwater,Wyoming,82942,coal,2111,Conventional Steam Coal
powerplant_coal_2020.199,199,Huntington,PacifiCorp,Electric Utility,Huntington,Emery,Utah,84528,coal,909,Conventional Steam Coal
powerplant_coal_2020.200,200,"Gavin Power, LLC","Gavin Power, LLC",IPP Non-CHP,Cheshire,Gallia,Ohio,45620,coal,2680,Conventional Steam Coal
powerplant_coal_2020.201,201,Ray D Nixon,City of Colorado Springs - (CO),Electric Utility,Fountain,El Paso,Colorado,80817,coal,268,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.202,202,Coyote,Otter Tail Power Co,Electric Utility,Beulah,Mercer,North Dakota,58523,coal,429,Conventional Steam Coal
powerplant_coal_2020.203,203,Springerville,Tucson Electric Power Co,Electric Utility,Springerville,Apache,Arizona,85938,coal,1638.4,Conventional Steam Coal; Solar Photovoltaic;
powerplant_coal_2020.204,204,North Valmy,Sierra Pacific Power Co,Electric Utility,Valmy,Humboldt,Nevada,89438,coal,522,Conventional Steam Coal
powerplant_coal_2020.205,205,Cheswick Power Plant,"GenOn Power Midwest, LP",IPP Non-CHP,Cheswick,Allegheny,Pennsylvania,15024,coal,565,Conventional Steam Coal
powerplant_coal_2020.206,206,"RED-Rochester, LLC","RED-Rochester, LLC",Industrial CHP,Rochester,Monroe,New York,14652,coal,132.5,Conventional Steam Coal; Conventional Hydroelectric;
powerplant_coal_2020.207,207,Logan Generating Plant,Logan Generating Company LP,IPP CHP,Swedesboro,Gloucester,New Jersey,8085,coal,219,Conventional Steam Coal
powerplant_coal_2020.208,208,Taconite Harbor Energy Center,"ALLETE, Inc.",Electric Utility,Schroeder,Cook,Minnesota,55613,coal,154.9,Conventional Steam Coal
powerplant_coal_2020.209,209,John B Rich Memorial Power Station,Gilberton Power Co,IPP CHP,Frackville,Schuylkill,Pennsylvania,17931,coal,80,Conventional Steam Coal
powerplant_coal_2020.210,210,Colver Power Project,"Inter-Power/AhlCon Partners, L.P.",IPP Non-CHP,Colver,Cambria,Pennsylvania,15927,coal,110,Conventional Steam Coal
powerplant_coal_2020.211,211,Grant Town Power Plant,American Bituminous Power LP,IPP Non-CHP,Grant Town,Marion,West Virginia,26574,coal,80,Conventional Steam Coal
powerplant_coal_2020.212,212,Biron Mill,"ND Paper, Inc.",Industrial CHP,Wisconsin Rapids,Wood,Wisconsin,54494,coal,55.3,Conventional Steam Coal; Natural Gas Steam Turbine;
